X,Bintang,Pengguna,Komen,Tanggal
325,Diberi rating 1 bintang dari 5 bintang Diberi,Acer Tes,"mohon dong... info lanjutan ny. bwt Cermati. masalah pinjeman saya. klo Ga d Acc... kbrin. klo klo d Acc... kbrin. masa dr tgl 16 april 2019. sampai saat ini blom ada keJelasan... iya... apa tidak... Nya, Pinjeman saya d Acc... itu saja. saya bel juga prCuma ga pernah Nyambung""...",05/01/2019
326,Diberi rating 1 bintang dari 5 bintang Diberi,Daniel Febrian,"Kecewa dengan peraturan yg ga jelas, masa sales gabisa, karyawan bioskop gabisa, pns jga ga bisa, harus ""karyawan swasta"" nah itu kn meliputi semua golongan, dan itu real sesuai kenyataan masa di tolak padahal pengajuan sudah 2x dan sebelumnya gak ada masalah perihal pekerjaan, jgn ada yg pake ini a...
Ulasan Lengkap",11/05/2018
327,Diberi rating 5 bintang dari 5 bintang Diberi,Anggit Mulya,"Tolong jangan kasih harapan palsu , klo iyah bisa bantu , tolong bantu saja jangan dikasih harapan trus , nanti kesian yg nunggu hasilnya , nunggu lama eh ga cairkan , nanti tercoreng cermati.",11/17/2019
328,Diberi rating 5 bintang dari 5 bintang Diberi,Ade Tarsidi,Mao nyoba kli di acc,01/30/2020
329,Diberi rating 4 bintang dari 5 bintang Diberi,Fery susanto,"Saya mau menanyakan tentang pengajuan kartu kredit saya ,,sudah berapa bulan ko tidak ada kabar??",01/06/2020
330,Diberi rating 3 bintang dari 5 bintang Diberi,Mayang Arini,Saya bikin cc udah ditelpon dan udah ttd sampe sekarang blm ada penjelasannya dari bank tersebut. Terlalu lelet. Tolong diberitahu prosesnya punya saya di tolak atau gak nya,10/27/2019
331,Diberi rating 1 bintang dari 5 bintang Diberi,Sugianto,"Saya melakukan pembayaran bpjs ketenagakerjaan melalui apps, tapi sampai sekarang belum juga terbayar! Sudah saya hubungi via email tetap saja tidak ada respon.",11/14/2019
332,Diberi rating 1 bintang dari 5 bintang Diberi,Raffi Adi,Ko ngga ada nmer CS'y,01/20/2020
333,Diberi rating 1 bintang dari 5 bintang Diberi,Pengguna Google,"cermati tolong dong data Customer itu jangan di bocorkan ke pihak lain, gara2 cermati saya setiap hari di telpon banyak promo yang saya ga tertarik, bukan hanya tiap hari, bahkan sehari bisa 2-4 kali, dan sejujurnya itu sangat mengganggu, kalo begitu saya ingin hapus semua data saya di cermati, kalo...
Ulasan Lengkap",02/15/2019
334,Diberi rating 3 bintang dari 5 bintang Diberi,Debie Indriani,"Selamat malam Tolong untuk admin cermati saya ada pengajuan pinjaman di KTA Bank KEB Hana udah hampir 2 minggu kok tidak ada kabar ya gimana itu ,tolong di konfirmasi kan di acc atau tidak ...makasih",10/09/2019
335,Diberi rating 3 bintang dari 5 bintang Diberi,Nafeeza Putri,"Aplikasi yang bagus cuman pelayanan perlu ditingkatkan,soalny mesti nunggu luama banget prosesny. Ini saja sudah 3 minggu lebih masih dalam proses persiapan pengiriman data ke institusi terkait..!!!😣",10/17/2019
336,Diberi rating 1 bintang dari 5 bintang Diberi,rivaullah rival,"Waktu itu saya sudah kasih data"" untuk pembuatan CC BCA kepada kuril cuma koq dari BCA tidak menghubungin saya n dari pihak cermati juga... Apa data saya yg saya kasih ke kurilnya tidak di sampaikan..",11/13/2019
337,Diberi rating 2 bintang dari 5 bintang Diberi,fhayreza aditya ramadhan,Saya mengajukan pinjaman d cermati lalu d alihkan ke indodana tp saya bingung data yg saya isi k mana ya??? Saya otang yg buta tekhnologi,01/26/2020
338,Diberi rating 1 bintang dari 5 bintang Diberi,Iuan Kania,Ketidak Jelasan memang ada di aplikasi ini. sangat² dan amat gak jelas !!,02/22/2020
339,Diberi rating 5 bintang dari 5 bintang Diberi,Ika Noviyanti,"Tolong untung permatabank konfimasi lanjutannya hub saya. Maaf tdi dari pihak permatabank tlp dan tidak saya angkat, karna saya sedang bekerja. Tolong di tlp lagi ke nomer saya. Terima kasih banyak",09/26/2019
340,Diberi rating 1 bintang dari 5 bintang Diberi,Rena Rifaldy,"Saya pengajuan cc dri tgl 15 juli sudah di telpon konfirmasi data bulak baik,, tapi sampai sekarang gk ada kabar nya,, maksud nya,gmna ,apa cuma curi data saja",10/08/2019
341,Diberi rating 2 bintang dari 5 bintang Diberi,Andi Suhendi,"Sebelumnya saya minta maaf, saya tidak jadi, untuk tentang semua pengajuan saya, dan saya dengan sangat mohon tolong dihapus semua data data saya , semua kepada pihak cermati dan saya ucapkan banyak terimakasih.",10/11/2019
342,Diberi rating 3 bintang dari 5 bintang Diberi,santono agus,"Susah melengkapi data untuk pengajuan pinjaman yg kita pilih diaplikasi ini, tetapi disuruh melengkapi data.. hadeh",02/03/2020
343,Diberi rating 2 bintang dari 5 bintang Diberi,Ash Mai,"sudah isi formulir lengkap...dan jls kredit tanpa agunan...di tlp td pagi katanya iNi khusus pke kartu kredit mau dialihkan ke yg tanpa krtu kredit...pas sy cek di aplikasi data kurang lengkap...apanya yg kurang jelas sdh ko..kl ga niat kasih pinjam gpp jgn php alesan mcm mcm...sy bekerja punya usah...
Ulasan Lengkap",01/04/2019
344,Diberi rating 1 bintang dari 5 bintang Diberi,Pengguna Google,"aplikasi ga jelas!!!buang2 kuota internet aja!!!sudah pengajuan hampir seminggu ga ada kejelasan di acc atau di tolak!!!!nyuri data2 doank!!!!jgn download,capek2 in isi data2 doank cuma buat disalahgunakan aplikasi tsi nih!!!!",01/20/2019
345,Diberi rating 1 bintang dari 5 bintang Diberi,Alvind Alvaro,"Kurang cepat aja respon nya, terlalu lama nunggu, ga dikasih kabar, mau sampe kapan nunggu? Jangan bikin orang kesal dong, beri kepastian bisa jadi apa ngga, jangan cuma minta datanya doang yg di lengkapin, info kecustomernya juga, PELAYANAN ITU PENTING BIAR GA BIKIN KECEWA",09/23/2018
346,Diberi rating 3 bintang dari 5 bintang Diberi,suryo Mulyadi,Kenapa sampai sekarang pengajuan pinjaman KTA saya belum ada kabarnya?! Sampai kapan saya harus menunggu ?! Sementara saya ksh bintang 3 dulu,09/20/2019
347,Diberi rating 1 bintang dari 5 bintang Diberi,HAMBAE CINEMA ACTION TERBARU,Aplikasi nya buang aja daripada di Php trs calon nasabahnya.... Saya sudah seminggu yg lalu sy ajuin pinjaman tp. Sampai saat ini tdk ada respon..... Hanya di sms perlengkapan data. Padahal sy dh lengkapi data2 y.... Aplikasinya aneh buang2 kuota aja dowload2.....,11/08/2018
348,Diberi rating 1 bintang dari 5 bintang Diberi,Yowan Restu,Udah 1 bulan lebih tapi sama sekali ga satu pun yg jelas. Konfirmasi pun ga ada. Jangan lah PHP orang kaya gini. Yg ada malah sms penawaran ini itu. Kalau mau cari data base jangan seperti ini. Kasian yang bener2 butuh.,11/14/2018
349,Diberi rating 1 bintang dari 5 bintang Diberi,Fredi Sid,Ga recommended. Pengajuan permata bank lebih dari 2 Minggu ga ada hasil atau kabat. Cm pencurian data dan di sebar luaskan. Jangan download dah.,09/29/2019
350,Diberi rating 1 bintang dari 5 bintang Diberi,hidayat sulaiman,"Payah nih, konfirmasi dulu dong klo mau dialihkan, bersedia atau tidak.jangan langsung alihkan aja.lagipula itu pengajuan lama,kenapa baru diproses,maaf saya lg tidak butuh.saya sudah kirim email, tolong BATALKAN!!!!",11/09/2019
351,Diberi rating 3 bintang dari 5 bintang Diberi,Monica Ritha Handayani,"Saya sudah mengajukan aplikasi pinjaman, tetapi sampai hari ini belum ada jawaban di terima apa di tolak. Mohon segera memberi jawaban. Terima kasih",11/19/2019
352,Diberi rating 1 bintang dari 5 bintang Diberi,Maryanto Yanto,Aplikasi bikin kesal jangan berurusan dg app ini anda pasti kecewa!!!!,02/27/2020
353,Diberi rating 1 bintang dari 5 bintang Diberi,sony fahreza,kecewa...saya emang supir tapi selery saya diatas rata rata..cermati sangat merendahkan profesi seorang supir...ingat mas/mba bro tanpa supir perusahaan tak akan bsa berjalan operasional nya. terima kasih atas penghinaan nya di bulan yg penuh berkah ini... sukses terus buat cermati salam,05/17/2019
354,Diberi rating 3 bintang dari 5 bintang Diberi,zahra firmansyah,"masukan saja untuk cermati, kalau telp tolong pakai provider yang jelas, karna telp putus2 data pendapatan saya jadi salah/kurang, g nyambung jadinya, banyak hah?, apa?, bagaimana? semoga aja tidak ada kendala/masalah karna miskom seperti ini",04/09/2019
355,Diberi rating 1 bintang dari 5 bintang Diberi,SOFIYAN HAIKIM,"Gemana ini saya mau masukin tmpat lahir dan provinsi saya aja ga bisa. Alah tiba"" nongol order id. Udah 2 aplikasi juga ga bisa boro"" di tlpn atau pemberitahuan orang masukin tempat lahir dan provinsi aja ga bisa..payah Kecewa sangat Saya",11/19/2018
356,Diberi rating 3 bintang dari 5 bintang Diberi,Uqie Uki,"Kurir Cermati gk Jelas!! Sudah Janjian Dgn saya mau ambil Data sy dikantor,,tiba"" sampai saat ini gk Ada Kabar!! di Tlp gk diangkat,,di WA pun gk balas! tlg tingkatkan lagi, Kinerja para Kurir""nya di Lapangan. trimks.",11/21/2018
357,Diberi rating 5 bintang dari 5 bintang Diberi,Chandra Gupta Maurya,"Saya kasih 5 bintang ya supaya permohonan saya cepat di acc.. Mohon pengertian nya ya admin , jangan memberikan harapan baanyak tanpa ada kejelasan, saya sudah isi data dengan lengkap kenapa tidak ada jawaban??",09/17/2019
358,Diberi rating 1 bintang dari 5 bintang Diberi,Rezky Matou,"Hapus data saya anjing ..sdh 7 hari tdk ada kepastian babi ..status msh followup ..apk ini cuma mau ambil data saja anjing ..sy sumpahin perut kalian meledak gara"" tipu orang ...",10/02/2019
359,Diberi rating 1 bintang dari 5 bintang Diberi,Heri Ntoy,"Gak ada kejelasan setelah seminggu di telpon pihak cermati, padahal semua data sudah lengkap dan pertanyaan saat ditelpon pihak cermati terjawab,tapi sampai saat ini tidak ada kabar di acc atau di tolak... Mohon diapus data data pengajuan saya bila seperti ini ...",10/16/2019
360,Diberi rating 1 bintang dari 5 bintang Diberi,Arif Hidayat,"Aku saya sudah mengajukan dana pinjaman, tapi udh lebih 3 hari ga di acc juga, kalo emg ga di acc yaudah batalin aja, jgan bikin bingung customer ..",11/21/2019
361,Diberi rating 3 bintang dari 5 bintang Diberi,Pengguna Google,"Setelah saya dwonload aplikasi lalu saya mencoba daftar setelah pendaftaran selesai dan sudah dapet sms.. Tapi keterangan di aplikasi nya ""pinjaman sudah di proses oleh pihak lain""sementara saya tidak pernah kirim pengajuan sebelumnya,Tolong kasih penjelasan... Terimakasih",12/06/2018
362,Diberi rating 1 bintang dari 5 bintang Diberi,Derry Estrada,"mana kemajuannya? dari kemarin masih nunggu proses validasi terus! kalau pengaju tidak dipercayai data datanya, mohon diproses gagal atau yang lain'y, agar tidak lama menunggu dan tidak ada pemberitahuan yang semesti'y, tidak ada pihak"" tertentu yang menghubungi sekalipun, terus ini aplikasi apa seb...
Ulasan Lengkap",01/29/2019
363,Diberi rating 1 bintang dari 5 bintang Diberi,Tovi Muti,"Pelayanan tlp sangat buruk bagian call center nya atau tim verifikasi datanya, buang"" waktu saja ini cermati pelayanan sangat buruk sekali lambat respon dan lambat prosesnya DAME aplikasi sekarat.",11/22/2019
364,Diberi rating 1 bintang dari 5 bintang Diberi,Wagio Hardy,Betul apanya yg memuaskan pengajuan dari desember sampai sekarang tidak ada satupun yg acc data semuanya lengkap. Mau alasan apalagi,01/13/2020
365,Diberi rating 1 bintang dari 5 bintang Diberi,Adiva _Buana88gmail.com Buana Diva,"Saya sudah memasukan data"" saya di cermati ko blom ada prosesnya dan responya dari pihAk cermTi yg ada malah nunggu validasinya sampai kapan tolong custemer service..di tanggapi..",09/07/2019
366,Diberi rating 5 bintang dari 5 bintang Diberi,ayu wandira,Hallo tolong dibantu tuk pengajuan saya donk??saya sudah isi data lengkap tapi belum ad telepon2 / kabarnys dari cermati??saya ngajuin aplikasi KEB hana bank dan tylement,09/26/2019
367,Diberi rating 1 bintang dari 5 bintang Diberi,Nurmala Sari,untuk pihak cermati sy ada pengajuan pinjaman di bank keb Hana tolong di cancel ajh karena prosesnya lama gak sesuai dngn yg tertera di aplikasi..tolong jg hapus data saya. Atas nama Wawan Kurniawan dgn no.id FMOKWSQD. trmksh.,10/22/2019
368,Diberi rating 1 bintang dari 5 bintang Diberi,Erni,"Kalo mau ajukan kk lebih cepet di tokopedia ga pake ribet isi data banyak dan ga pake calo kayak cermati, udh ribet konfirmasi mulu, ga ada kejelasan. Ngajuin kk bank apa, eh semua bank yg tidak saya daftar malah di ajuin, ribet bgt dah pokoknya",10/25/2019
369,Diberi rating 2 bintang dari 5 bintang Diberi,Arios jaya Arios,"Saya coba kasih 2 rating ☆☆dl, kl pnjmn saya sdh disetujui nanti bru saya klik 5 rating ☆☆☆☆☆utk aplikasi ini, krn saya sdh 3x ini mengajukan pnjmn online lwt aplikasi ini blm prnh disetujui, gak tau knpa, alasannya gak valid.",11/12/2019
370,Diberi rating 1 bintang dari 5 bintang Diberi,Satria Teguh,Aplikasi gk jelas udah ngajuin kartu kredit sebulan lebih gk ada kabar..ini mah penipuan namanya. Banyak yg berharap tapi gk da yg di respon.,11/25/2019
371,Diberi rating 5 bintang dari 5 bintang Diberi,Rakis Rakis,Maaf mau tanya.kalau mau mengajukan di web kenapa harus ada kode promo?bagaimana cara mendapatkan kode promonya??,12/07/2019
372,Diberi rating 1 bintang dari 5 bintang Diberi,Nur Samsiah,Pinjaman saya kapan di acc nya ini pengajuan dari tgl 08 blum ada konfirmasi..tidak ada kepastian .!!!,01/12/2020
373,Diberi rating 3 bintang dari 5 bintang Diberi,Totok Djoko Sunaryanto,kesulitan mengupload foto dg alasan muncul tulisan berwarna merah sbb... foto tidak boleh lebih dri 2 MB ..alasan kedua muncul foto kurang jelas. ... aduchh... bolak balik upload foto gagal terus gmana harua melengkapi kalau upload foto gagal terus..,01/19/2019
374,Diberi rating 1 bintang dari 5 bintang Diberi,Eva Hartati,Aplikasi bikin orang mengharap.. Klw gk mau pinjamin jgn bikin kata*yg bikin orang berharap.orang butuh buat biaya sklh pas ngajuin lama di acc.. Bgtu ada kabar cuma tulisan di tolak kasian kan orang sdh berharap penuh utk pinjaman biaya sklh.. Gmna klw yg sakit ya.. Bisa keburu mati kali ya...,11/20/2019
375,Diberi rating 1 bintang dari 5 bintang Diberi,Rizky Oktavianus,"Ga ada kejelasan, data sudah komplit semua, sudah 2minggu lebih ga ada kejelasan, kalo emang ga bisa, yah dikasih tau, apa dan kenapa alasan nya, cs tolong yah jangan membohongi dan mencuri data saja, ini ada pasal nya lho, terima kasih !!",05/06/2019
376,Diberi rating 1 bintang dari 5 bintang Diberi,adji rabbani,"aplikasi ini kebanyakan promo/iklan.. giliran kita mengjukan apliksi..*entah kta/pinjol..""jawabanya..maaf pengajuan tidak bisa..karena blom bekerja sama..""klo emang blom bekerja sama..yah jangan d promoin atuh..""kita cape2 ngisi data..""akhirnya cuma dapat jawaban..""seperti di atas..blom bekerja sama...
Ulasan Lengkap",01/31/2019
377,Diberi rating 3 bintang dari 5 bintang Diberi,Arya D M,"ksh 3 aja dulu,,,udh lebih dari 1 minggu pinjaman ku blm di acc/ada penjelasan...aku pinjam krn memang butuh buat tambahan modal usaha.yg bnr pinjam gk di acc,,,tapi yg maen""mlh di acc...tolong dong di liat dari hasil data""yg sudah kita berikan,,,aku sudah menunggu tapi nol hasilnya",07/22/2019
378,Diberi rating 1 bintang dari 5 bintang Diberi,Ratna Dewi,"Kirain saya doank yg ga di respon, tnyata ada yg dah bbulan² msh status yg sama, parah ga sesuai bgt dgn iklan yg katanya hanya 60 dtik/menit itu lah,,,, tnyata di PHP in doank",11/01/2019
379,Diberi rating 2 bintang dari 5 bintang Diberi,RC Channel,"Diaplikasi tertulis info pengajuan ga ada kejelasan data pemohon padahal dri pihak kurir ga telp, ga dteng kerumah atw ke kantor utk pickup data, cuma email pemberitahuan aja klo akan ada kurir yg menghubungi utk pickup data....",11/29/2019
380,Diberi rating 3 bintang dari 5 bintang Diberi,Pengguna Google,Selamat pagi... Saya mau tanya kenapa dah seminggu lebih pengajuan sya di acc cma katanya tunggu berapa menit tpi smpai skrang tak cair jga... Seharus nya kasih kabar dong cair ga cair nya jngan di gantung Kya gini... Padahal data sya dah lengkap terimakasih.,11/05/2018
381,Diberi rating 3 bintang dari 5 bintang Diberi,amalia safitri,"Mohon pengajuan app kk saya jgn di ubah dunk min, masa saya ngajuin kk bca batman di app jd bri touch gold... Pantes saja tdk sesuai kriteria, saya mohon apply saya yg ke dua jgn diubah ya min... Terimaksih... Nanti kalau di acc bintangnya saya tambahin ya min.",09/21/2018
382,Diberi rating 1 bintang dari 5 bintang Diberi,Pengguna Google,lama dan tidak ada tindak lanjut sy pengajuan cc di cermati sdh hampir 2 bulan tdk ada kabar berita nya di acc apa di tolak pengajuan sy..setelah sy kroscek sendiri di bank yg di tuju tdk ada satu minggu lngsung ada kabar dr pihak bank..sy benar benar kecewa,01/10/2019
383,Diberi rating 1 bintang dari 5 bintang Diberi,Abdul Choir,"data lengkap diterima tgl 8 juli 2019 via apk.!! ini aplikasi cuma buat ngambil data base aja yaa? sampai detik ini gk ada konfirmasi baik telp ataupun email tentang kejelasan CC yg saya ajukan, maaf boss jika suatu hari saya temukan penyalahgunaan data pribadi saya tentu saya akan tempuh jalur huku...
Ulasan Lengkap",07/19/2019
384,Diberi rating 2 bintang dari 5 bintang Diberi,Muzdalifah Siregar,Sy sudah mengajukan kartu kredit di aplikasi ini dr tgl 6 agustus sampai skr sudah tgl 17 september blm ada kabar ataupun keterangan di accnya pengajuan sy ???,09/17/2019
385,Diberi rating 5 bintang dari 5 bintang Diberi,Januarti Tri Utami,"hai admin cermati, saya ingin menanyakan pengajuan kta saya dri keb hana bank, bagaimana kelajutanya, bisa mohon di proses ? saya sudah menunggu seminggu tidak ada kabar.. makasih",10/24/2019
386,Diberi rating 1 bintang dari 5 bintang Diberi,Aqrulsyah Reza,Prosesnya lama tidak sesuai dengan promo webnya.. Untuk proses yg 3 hari ternyata sampe 7 hari belum dapet kabar.. Cs pun tidak memberikan penjelasan detail sampai mana pengajuannya cuma diminta tunggu sampe bosen,10/30/2019
387,Diberi rating 1 bintang dari 5 bintang Diberi,Ken zie,"aplikasi ga jelas , kurir mau datang ambil dokumen , udh saya bilang mau cancle aja krn dokumen saya ga lengkap , ga usah datang k tempat kerja tp ttp mksa dtang k tempat kerja , aneh kan sy udh bilang gak jadi , sales segitu amat ya cari uang sampe kaya yg mksa mw jmput dokumen klo udh bilang cancl...
Ulasan Lengkap",02/26/2019
388,Diberi rating 3 bintang dari 5 bintang Diberi,Asmayhanie Savithree,"Apakah pihak cermati serius dalam menanggapi pengajuan nasabahnya? saya mencoba mengajukan CC dari apk ini tpi sepertinya hanya mengambil data saja. Terakhir di konfirmasi kalau akan mengambil data fisik ke kantor saya namun team cermati bahkan tdk mendatangi saya, waktu saya lihat d aplikasi pengaj...
Ulasan Lengkap",07/30/2019
389,Diberi rating 1 bintang dari 5 bintang Diberi,akhmad jafar,Lama sudah 3 bulan lebih gak ada kabar.aplikasi oun sudah diambil..klu memang tdk bisa mohon aplikasi yg sudah saya kasih.. jgn dipergunakan untuk hal yg tdk baik..calo yg kurang respon,10/17/2019
390,Diberi rating 1 bintang dari 5 bintang Diberi,Mutia Yuli Yanti,"Emang harus ya pengajuan yg lain kartu cc kita wajib difoto Copy jg? Kan kita takut disalah gunakan, soalnya tertera nmr kartu dan security codenya.. Kalo perlu gk usah lah pakai foto copy cc bank lain",11/01/2019
391,Diberi rating 3 bintang dari 5 bintang Diberi,Yulvie Jasmine,Bintang 3dulu ya sebab pinjaman saya msh dalam proses validasi nya lamaaa sekali pdhl udh lengkap smua ..dri bank Hana nya lamaa validasi nya ..nanti kalau di ACC baru aku tambahin jdi 5bintang ..,11/06/2019
392,Diberi rating 1 bintang dari 5 bintang Diberi,Gianis Nur Septriany,"Udah 2 bln lebih saya pengajuan pinjaman dan pengajuan kartu kredit masih blm berubah,gimana ini cuman ngambil data doang,blm ada kepastian jelas diacc ngga nya",12/02/2019
393,Diberi rating 4 bintang dari 5 bintang Diberi,Priadhi 7913,Jujur.. Sampai saat ini.. Aku sdh coba dari mulai kta atau kartu kredit.. Satupun ga ada yg di setujui entah salah nya di mana? Kabar pun ga pernah ada.. Apakah di setujui atau tidak.. Kita ga tau..,11/17/2018
394,Diberi rating 1 bintang dari 5 bintang Diberi,Riky Kam,Saya daftar kartu kredit dari tanggal 5 november2018 data sudah dijemput semua dan sudah ada telpon dr pihak bni dan mega.. tapi sampai sekarang belum ada kejelasan?? Tolong dibantu gimana baiknya saya telpon kantor cermati tidak bisa,11/26/2018
395,Diberi rating 1 bintang dari 5 bintang Diberi,Fahriza Gulham Yusup,"giiilllsssss, gw ngajuin dr tanggal 13 Mei lalu, dibilangnya data sudah lengkap, menunggu verifikasi, tapi sampe skrg belum ada tindak lanjut. keburu dateng waktunya buat pake uang pinjaman dr sini. aplikasi SAMPAHHH!!!. gw uninstall. bye!!!",06/04/2019
396,Diberi rating 1 bintang dari 5 bintang Diberi,Khoirul Fazri,"mengajukan pinjaman, selama 4 hari masih proses. semoga di acc pinjaman saya 😊, setelah di acc saya beri 5 untuk APL CERMATI.",09/11/2019
397,Diberi rating 1 bintang dari 5 bintang Diberi,ricky sebastian,Apliaksinya ga bermutu..ngajuin kartu kredit..msh dalem proses aja..udh 2 bulan...dpt info dr bank..udh tidak di acc..aplikasi ga bermanfaat..hapusssss,10/12/2019
398,Diberi rating 1 bintang dari 5 bintang Diberi,bazir 717,"Hati2 jangan coba2 instal aplikasi ini, data anda akan bocor. Beberapa kali ada yg mau coba akses pinjaman atas nama sy,...",12/03/2019
399,Diberi rating 3 bintang dari 5 bintang Diberi,Abid Fadhil Abyan,"saya sudah mengajukan ke KTA ke Keb Hana Bank melalui aplikasi Cremate sudah isi aplikasi semuanya sudah lengkap infonya sedang Tunggu proses validasi, tapi ko lama y prosesnya smpe 1 bulan lebih.Mohon Di follow up karena saya Sangat membutuhkan pinjaman tsb.. terima kasih",04/03/2019
400,Diberi rating 5 bintang dari 5 bintang Diberi,carmelia hardy nasution,"koq saya baca yang pada koment tidak bagus ya dan hampir kebanyakan tidak di proses dan pencairan,semoga pinjaman saya pertama kali ini benar"" cair dan di acc...soal nya saya lg bener"" butuh untuk modal arisan barang saya dan renovasi rumah lagi...tolong di acc ya min dan sesuai janji 7-14 hari kerj...
Ulasan Lengkap",01/22/2019
401,Diberi rating 1 bintang dari 5 bintang Diberi,donni mazda,"sangat tidak membantu. saya pengajuan kartu kredit dari satu bulan lalu sampe ske tdk ada kejelasan acc atau tidak.. sampai salesnya sdh ambil smua data saya kerumah 2x ,,lalu saya coba pengajuan pinjaman sama aja tdk ada kejelasan di acc atau tdk dari tgl 12 lalu.. lama sekali tdk spt ajuan lain 2/...
Ulasan Lengkap",03/27/2019
402,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,"Cermati sy merasa sngat percaya terhadap aplikasi Cermati tlah d cipta kan & d ad kn untk mempermudah seluruh masyrakat indonesia tanah air ini,dapat banyak membantu seluruh masyharakat yg membutuh kan bantuan pinjaman,seperti salah satu nya sy in lah,permohonan & harapan besar saya terhadap aplikas...
Ulasan Lengkap",03/17/2019
403,Diberi rating 1 bintang dari 5 bintang Diberi,Yandi Oktavian,"selamat siang pihak cermati.. saya mau bertanya knp ya pihak kalian selalu tlp ke no saya...?? karna itu sangat menggangu sekali... saya tidak punya hutang sama pihak kalian jd tolong jgn tlp"" trus... terima kasih.",04/02/2019
404,Diberi rating 1 bintang dari 5 bintang Diberi,Pengguna Google,"saya mengajukan pinjaman...sudah diyelpon oleh pihak amar bank...namun sampai sekarang sudah hampir 2 bulan belum ada kabar...malahan nomer disebar kemana mana...banyak sms ga jelas tentapng pinjaman yg mengharuskan transfer dp dulu lah...dari asuransi lah... min saran saya orang kalo ngajuin g di a...
Ulasan Lengkap",12/10/2018
405,Diberi rating 1 bintang dari 5 bintang Diberi,Rahmat Cilok,"apa cuman PHP aja harapan di tagung trs orang lagi darurat buat operasi ade ko gk punya perasaan apa kali kalo di gi mendingan data diri saya di hapus dong kalo gk saya laporkan ke OJK suadara jabatan di OJK kalo emng niat cuman mailing data pribadi saya mending di hapus deh ada jngn main sama saya ...
Ulasan Lengkap",09/25/2019
406,Diberi rating 2 bintang dari 5 bintang Diberi,HERI HERI,"cermati bagus menanggapi saya bahkan saya ngajuin sebulan lalu sempat di terima data saya,saya sangat senang waktu itu Alhamdlh angan2saya akan tercapai tpi sayang sampai hari ini ga ada kabar di acc apa tidak..sukses cermati bikin orng panjang angan2 da kesampaian?? maap bintang ya 2ajah",03/12/2019
407,Diberi rating 1 bintang dari 5 bintang Diberi,ricky afrianur,"setelah menggunakan aplikasi ini kita di telp CS yg menanyakan data diri kita, dan meminta mengirimkan foto KTP dan NPWP. pertanyaan saya: 01. untuk apa foto tentang data diri kita? 02. apa cermati ini bagian dari salah satu pihak Bank atau hanya pihak ketiga? 03. apa cermati ini adalah sebuah perus...
Ulasan Lengkap",10/19/2018
408,Diberi rating 1 bintang dari 5 bintang Diberi,Pengguna Google,"liat dari comen""a ga ada yg di acc,berarti ni aplikasi ga punya modal,cuma modal aplikasi doank biar orang pada unduh aplikasi ini dan yg pnya aplikasi ini bsa dapat duit dah,,,hahahaha jaman skrng nyari duit hasil nipu orng mah gampang ya",03/27/2019
409,Diberi rating 2 bintang dari 5 bintang Diberi,Siti Zull,"proses'a lama pake banget ini udh 14 hari kerja lebih. Coba ngajuin CC 1 bank namun d tawarin 3 bank, yg 2 bru banget di infoin klo gak di acc, yg 1 masih menggantung pdhl sudah di tlp dri pihak bank'a dan sudah d tlp k kantor juga. Coba KTA pun yg 1 ke panin bank gak d acc, yg 1 keb hana bank mengg...
Ulasan Lengkap",01/17/2019
410,Diberi rating 1 bintang dari 5 bintang Diberi,Ficky Dwi Putra,"Aplikasi gak guna, udah isinya aplikasi calo, curi data doank, di acc apa tdknya aja nunggu 1 bulan, nyesel download",12/28/2019
411,Diberi rating 1 bintang dari 5 bintang Diberi,Nendi Conte,"maaf saya un instal aja., soal nya waktu proses sangat lama,cuma pemberitahuan proses saja,tidak ada perubahan., tidak ada tanggapan yg memuas kan., Terimakasih sebelum nya sudah mau membatu mengajukan saja., dan saya juga cuma bisa bantu 1 bintang saja.,",05/11/2019
412,Diberi rating 3 bintang dari 5 bintang Diberi,Rafli Virgiansyah,"Kenapa pengajuannya lama ya? Padahal sudah isi formulirnya dengan sangat sesuai.. mohon bantuannya,karena sedang butuh",09/17/2019
413,Diberi rating 1 bintang dari 5 bintang Diberi,dede lumut,"Jangan mau dwonload apk ne soalnya apk ini penipu saya kemaren daftar bpjs ketenaga kerjaan sampai sekarang blm selesai pripikasi uang udah d trasfer, cukup saya aja yg d rugikan jangan lah kalian lagi",09/19/2019
414,Diberi rating 1 bintang dari 5 bintang Diberi,evi setyo prayitno Wattibrahim,2 x pengajuan dan bahkan berkas diambil pihak marketing yg datang kekantor suami tp ga ada 1 pun yg lolos,02/14/2020
415,Diberi rating 1 bintang dari 5 bintang Diberi,bihan ramadan,"memeng aplikasi gak jelas,sudah isi data lengkap gk ad pnjelasan nya sama skali, percuma download sia sia",02/15/2020
416,Diberi rating 1 bintang dari 5 bintang Diberi,Eka Nurlia Yunita,"Kecewa karena sudah pengisian data aplikasi via cs outbound nya, kemudian sudah ada kurir yg kirim kontrak dan sudah minta tanda tangan serta sudah memberikan berkas dokumen syarat secara lengkap. Tp tidak ada info dan kepastian apakah di approve atau bagaimana. Sudah coba konfirmasi ke cs email nya...
Ulasan Lengkap",11/06/2018
